Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Fidelity,R2_Score,Mean Absolute Error
Naive Bayes,0.5116279069767442,0.4767441860465116,0.5116279069767442,0.4505915952672378,0.7523809523809524,0.5116279069767442,0.4317523533671251,0.813953488372093
Decision Tree,0.7209302325581395,0.7221483942414175,0.7209302325581395,0.7102650757422209,0.8488095238095239,0.7209302325581395,0.6341419261404779,0.4883720930232558
Random Forest,0.7906976744186046,0.7993440667859274,0.7906976744186046,0.788704318936877,0.9190476190476192,0.7906976744186046,0.7976104272266473,0.3255813953488372
MLP Classifier,0.7441860465116279,0.7445736434108526,0.7441860465116279,0.7403161135111365,0.830952380952381,0.7441860465116279,0.6419261404779145,0.4651162790697674
Naive Bayes,0.7515657620041754,0.7823747154722364,0.7515657620041754,0.746475579969291,0.9148148148148146,0.7515657620041754,0.6335708821516286,0.3215031315240083
Decision Tree,0.918580375782881,0.9201862537133724,0.918580375782881,0.9189938068334657,0.9663180827886708,0.918580375782881,0.736887362747974,0.1607515657620041
Random Forest,0.9206680584551148,0.92267069561199,0.9206680584551148,0.9211129098930492,0.9928976034858388,0.9206680584551148,0.7052036420317613,0.1670146137787056
MLP Classifier,0.8643006263048016,0.8681099506133505,0.8643006263048016,0.8622844212834765,0.4828313830807596,0.8643006263048016,0.7217342789271766,0.208768267223382
