Model,R2_Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
XGBoost,0.6681404166144858,29.82659598003317,2750.4568540610867,52.4447981601711
LSTM,0.5758086530305806,0.0266615458376539,0.0030423787285686,0.0551577621787601
Random Forest,0.977240688722909,10.12146876151812,188.6294891868932,13.73424512621255
Prophet,0.1294468090507458,47.20376553801817,7215.156984300737,84.94208017408532
XGBoost,0.9831076289228934,67.16605704376718,101625.30466049988,318.7872404292554
LSTM,0.025242844994045,0.0625127899526271,0.007403108458033,0.0860413183187763
Random Forest,0.9771821725692122,194.83471304135688,137273.13079731955,370.503887695284
Prophet,0.0762820335784301,1707.449037892181,5557131.046285786,2357.3567923175706
