Model,R2_Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error
XGBoost,0.9831076289228934,67.16605704376718,101625.30466049988,318.7872404292554
LSTM,0.025242844994045,0.0625127899526271,0.007403108458033,0.0860413183187763
Random Forest,0.9771821725692122,194.83471304135688,137273.13079731955,370.503887695284
Prophet,0.0762820335784301,1707.449037892181,5557131.046285786,2357.3567923175706
